age,allowedregion,contact,degree,education,educationtype,examtype,experience,gradebenifit,introduction,level,major,others,party,position,race,recruit,region,sex,site,specialposition,system,workplace
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事处理党政办日常事务及文秘、综合材料写作等工作,乡镇（街道）,中国语言文学类、新闻传播学类,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽清县,否,党的机关,00784 闽清县下祝乡人民政府
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,02 科员,不限,1,福州,女,鼓楼区,否,党的机关,00174 福州市鼓楼区安泰街道办事处
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,财政金融类,最低服务年限五年,不限,01 科员,不限,1,福州,不限,鼓楼区,否,党的机关,00175 福州市鼓楼区温泉街道办事处
30周岁以下,本省,0591-87073316杨,学士或以上学位,本科及以上,全日制普通高等院校,B类,不限,否,从事人民法院警务保障工作,县级,法学类以及司法警务、侦查（察）学、刑事侦查（察）、刑事科学技术、刑事侦查技术，警察指挥与战术、经济犯罪侦查、警卫学、涉外警务、边防公安、公安（安全）保卫、国内安全保卫、公安学、公共安全管理、公安管理、警察管理、预审、治安（学、管理）、公安法制、警卫、监狱学、狱政管理、刑事执行、劳改管理、劳教管理、罪犯管教等有关专业,符合人民警察录用条件,不限,05 司法警察,不限,1,福州,男,晋安区,否,审判机关,00516 福建省福州市晋安区人民法院
35周岁以下,本省,0591-83650181叶,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事行政事务、文字综合等工作,乡镇（街道）,中国语言文学类、公共管理类,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,晋安区,否,党的机关,00570 晋安区鼓山镇人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事负责社会优抚、救灾救济及其他民政工作,乡镇（街道）,不限,最低服务年限五年,不限,02 社会事务办科员,不限,1,福州,不限,闽清县,否,党的机关,00784 闽清县下祝乡人民政府
35周岁以下,本省,,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院信息化建设保障和支持工作,县级,计算机软件类、计算机网络技术类、计算机信息管理类、计算机硬件技术类,0591-87073316杨,不限,01 计算机科员,不限,1,福州,男,福清市,否,审判机关,00816 福建省福清市人民法院
35周岁以下,本省,,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院信息化建设保障和支持工作,县级,计算机软件类、计算机网络技术类、计算机信息管理类、计算机硬件技术类,0591-87073316杨,不限,02 计算机科员,不限,1,福州,女,福清市,否,审判机关,00816 福建省福清市人民法院
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,02 科员,不限,1,福州,不限,鼓楼区,否,党的机关,00175 福州市鼓楼区温泉街道办事处
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,01 科员,不限,1,福州,男,鼓楼区,否,党的机关,00176 福州市鼓楼区东街街道办事处
35周岁以下,本省,0591-83650181叶,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事财务管理工作,乡镇（街道）,财政金融类、会计与审计类,最低服务年限五年,不限,02 财政所科员,不限,1,福州,不限,晋安区,否,党的机关,00570 晋安区鼓山镇人民政府
35周岁以下,本省,0591-83650181叶,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事处理日常事务、文字撰写等工作,乡镇（街道）,中国语言文学类、经济贸易类,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,晋安区,否,党的机关,00571 晋安区新店镇人民政府
35周岁以下,本省,0591-83650181叶,不限,大专及以上,不限,A类(乡镇),不限,否,从事处理日常事务、文字撰写等工作,乡镇（街道）,不限,最低服务年限五年,不限,02 党政办科员,不限,1,福州,不限,晋安区,是,党的机关,00571 晋安区新店镇人民政府
35周岁以下,本省,0591-85157661郑,不限,大专及以上,不限,A类(乡镇),不限,否,从事综治办综合工作,乡镇（街道）,不限,最低服务年限五年,不限,01 社会管理综合治理办公室科员,不限,1,福州,不限,福清市,是,党的机关,00870 福清市渔溪镇人民政府
35周岁以下,本省,0591-85157661郑,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事财政所综合工作,乡镇（街道）,会计与审计类,最低服务年限五年,不限,01 财政所科员,不限,1,福州,不限,福清市,否,党的机关,00871 福清市新厝镇人民政府
35周岁以下,本省,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类,不限,是,从事纪检监察工作，履行监督执纪问责与监督调查处置等各项职责,县级,法学类、公安学类、公安技术类、会计与审计类,最低服务年限五年,中共党员,01 科员,不限,1,福州,男,永泰县,否,党的机关,00901 中共永泰县纪律检查委员会
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,02 科员,不限,1,福州,女,鼓楼区,否,党的机关,00176 福州市鼓楼区东街街道办事处
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,土建类,最低服务年限五年,不限,01 科员,不限,1,福州,不限,鼓楼区,否,党的机关,00177 福州市鼓楼区洪山镇人民政府
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,财政金融类,最低服务年限五年,不限,02 科员,不限,1,福州,不限,鼓楼区,否,党的机关,00177 福州市鼓楼区洪山镇人民政府
35周岁以下,本省,0591-83650181叶,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,"负责日常会计核算与监督,会计账目处理等财务工作",乡镇（街道）,财政金融类、会计与审计类,最低服务年限五年,不限,03 财政所科员,不限,1,福州,不限,晋安区,否,党的机关,00571 晋安区新店镇人民政府
35周岁以下,本省,0591-83650181叶,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事财务管理工作,乡镇（街道）,财政金融类、会计与审计类,最低服务年限五年,不限,01 财政所科员,不限,1,福州,不限,晋安区,否,党的机关,00572 晋安区岳峰镇人民政府
35周岁以下,本省,0591-83650181叶,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,山区森林资源规划、日常文字撰写等工作,乡镇（街道）,森林资源类,最低服务年限五年,不限,01 社会事务办公室（农业）科员,不限,1,福州,不限,晋安区,否,党的机关,00573 晋安区宦溪镇人民政府
35周岁以下,本省,0591-83650181叶,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事城乡规划、日常文字撰写等工作,乡镇（街道）,土建类,最低服务年限五年,不限,02 社会事务办公室（城建）科员,不限,1,福州,不限,晋安区,否,党的机关,00573 晋安区宦溪镇人民政府
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,03 科员,不限,1,福州,不限,鼓楼区,否,党的机关,00177 福州市鼓楼区洪山镇人民政府
35周岁以下,本省,0591-87663848许,不限,大专及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,04 科员,不限,2,福州,不限,鼓楼区,是,党的机关,00177 福州市鼓楼区洪山镇人民政府
35周岁以下,本省,,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院政工工作（人事管理、工资统计）,县级,法学类、哲学类、马克思主义理论类、政治学类、心理学类，以及人力资源管理专业,0591-87073316杨,中共党员,01 政工科员,不限,1,福州,不限,台江区,否,审判机关,00216 福建省福州市台江区人民法院
35周岁以下,本省,0591-83650181叶,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事农业技术推广,乡镇（街道）,农业经济管理类,最低服务年限五年,不限,01 社会事务办公室（农业）科员,不限,1,福州,不限,晋安区,否,党的机关,00574 晋安区寿山乡人民政府
35周岁以下,本省,0591-22983530江,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事综合文字工作,乡镇（街道）,不限,最低服务年限五年,不限,02 党政办科员,不限,1,福州,不限,闽侯县,否,党的机关,00674 闽侯县廷坪乡人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类,不限,否,从事办公室日常行政事务及文秘、综合材料写作等工作,县级,中国语言文学类、经济贸易类,最低服务年限五年；该岗位需经常加班、值班,不限,01 科员,不限,1,福州,不限,闽清县,否,党的机关,00702 中共闽清县委办公室
35周岁以下,本省,0591-62062135李,不限,大专及以上,不限,A类(乡镇),不限,否,从事处理党政办公室日常事务及应急突发事件等工作,乡镇（街道）,不限,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽清县,是,党的机关,00777 闽清县坂东镇人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事水利、住建等项目工程建设工作,乡镇（街道）,水利类、土建类、测绘类,最低服务年限五年,不限,02 经济发展办科员,不限,1,福州,不限,闽清县,否,党的机关,00777 闽清县坂东镇人民政府
35周岁以下,本省,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事乡镇基层农村工作，负责镇村信息化管理等工作,乡镇（街道）,通信信息类、计算机科学与技术类、电子工程类,最低服务年限五年,不限,02 科员,不限,1,福州,不限,永泰县,否,党的机关,00977 永泰县盖洋乡人民政府
35周岁以下,本省,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事乡镇基层财务管理等工作,乡镇（街道）,会计与审计类、财政金融类,最低服务年限五年,不限,01 科员,不限,1,福州,不限,永泰县,否,党的机关,00978 永泰县岭路乡人民政府
35周岁以下,本省,,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院财务工作,县级,会计（学）、财务管理、财务会计(教育)、国际会计、会计（财务）电算化、注册会计师、会计与统计核算、财务信息管理、工业（企业）会计、会计电算化、会计与审计专业,0591-87073316杨,不限,01 财务科员,不限,1,福州,不限,闽侯县,否,审判机关,00616 福建省闽侯县人民法院
35周岁以下,本省,0591-22983530江,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事征迁项目建设等乡镇基层工作,乡镇（街道）,土建类,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽侯县,否,党的机关,00670 闽侯县青口镇人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类,不限,否,从事办公室日常行政事务及文秘、综合材料写作等工作,县级,中国语言文学类、法学类,最低服务年限五年,不限,01 办公室科员,不限,1,福州,不限,闽清县,否,党的机关,00708 中共闽清县委编制机构委员会办公室
30周岁以下,本省,0591-87073316杨,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院审判辅助等有关工作,县级,法学类专业[不含公共事业管理（医事法律方向）],最低服务年限五年；通过全国统一司法考试,不限,01 法官助理（科员级）,不限,1,福州,男,闽清县,否,审判机关,00716 福建省闽清县人民法院
30周岁以下,本省,0591-87073316杨,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院审判辅助等有关工作,县级,法学类专业[不含公共事业管理（医事法律方向）],最低服务年限五年；通过全国统一司法考试,不限,02 法官助理（科员级）,不限,1,福州,女,闽清县,否,审判机关,00716 福建省闽清县人民法院
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事农村经济管理、会计账务处理等财务工作,乡镇（街道）,农业经济管理类、会计与审计类,最低服务年限五年,不限,01 经济发展办科员,不限,1,福州,不限,闽清县,否,党的机关,00778 闽清县三溪乡人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事负责社会优抚、救灾救济及其他民政工作,乡镇（街道）,社会学类、公共管理类,最低服务年限五年,不限,02 社会事务办科员,不限,1,福州,不限,闽清县,否,党的机关,00778 闽清县三溪乡人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事日常会计核算与监督、会计账务处理等财务工作,乡镇（街道）,会计与审计类、财政金融类,最低服务年限五年,不限,01 经济发展办科员,不限,1,福州,不限,闽清县,否,党的机关,00779 闽清县塔庄镇人民政府
35周岁以下,本设区市,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事乡镇基层财务管理或办公室综合文字等工作,乡镇（街道）,财政金融类、中国语言文学类,最低服务年限五年,不限,01 科员,不限,1,福州,不限,永泰县,否,党的机关,00980 永泰县东洋乡人民政府
35周岁以下,本设区市,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事乡镇基层财务管理或信息化建设、管理等工作,乡镇（街道）,财政金融类、计算机软件类、通信信息类,最低服务年限五年,不限,01 科员,不限,1,福州,男,永泰县,否,党的机关,00981 永泰县盘谷乡人民政府
35周岁以下,本设区市,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事乡镇基层财务管理或信息化建设、管理等工作,乡镇（街道）,财政金融类、计算机软件类、通信信息类,最低服务年限五年,不限,02 科员,不限,1,福州,女,永泰县,否,党的机关,00981 永泰县盘谷乡人民政府
35周岁以下,本省,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类,不限,是,从事纪检监察工作，履行监督执纪问责与监督调查处置等各项职责,县级,法学类、公安学类、公安技术类、会计与审计类,最低服务年限五年,中共党员,02 科员,不限,1,福州,女,永泰县,否,党的机关,00901 中共永泰县纪律检查委员会
35周岁以下,本省,0591-22983530江,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事财务管理等乡镇基层工作,乡镇（街道）,会计与审计类,最低服务年限五年,不限,02 经济发展办科员,不限,1,福州,不限,闽侯县,否,党的机关,00670 闽侯县青口镇人民政府
35周岁以下,本省,0591-22983530江,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事征迁、项目建设等乡镇基层工作,乡镇（街道）,土建类,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽侯县,否,党的机关,00671 闽侯县祥谦镇人民政府
35周岁以下,本省,0591-22983530江,不限,大专及以上,不限,A类(乡镇),不限,否,从事征迁、项目建设等乡镇基层工作,乡镇（街道）,不限,最低服务年限五年,不限,02 党政办科员,不限,1,福州,不限,闽侯县,是,党的机关,00671 闽侯县祥谦镇人民政府
35周岁以下,本省,0591-24877273蔡,不限,大专及以上,不限,A类(乡镇),不限,是,从事乡镇基层农村工作,乡镇（街道）,不限,最低服务年限五年,不限,02 科员,不限,1,福州,不限,永泰县,是,党的机关,00973 永泰县长庆镇人民政府
35周岁以下,本设区市,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事综合文字及办公室日常工作,乡镇（街道）,中国语言文学类,最低服务年限五年,不限,01 科员,不限,1,福州,男,永泰县,否,党的机关,00974 永泰县白云乡人民政府
35周岁以下,本省,,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院档案管理工作,县级,图书档案学类专业,0591-87073316杨,不限,02 档案管理科员,不限,1,福州,不限,台江区,否,审判机关,00216 福建省福州市台江区人民法院
35周岁以下,本省,0591-87073316杨,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院财务工作,县级,会计（学）、财务管理、财务会计(教育)、国际会计、会计（财务）电算化、注册会计师、会计与统计核算、财务信息管理、工业（企业）会计、会计电算化、会计与审计专业,最低服务年限五年，单位性别比例严重失衡，需招收男性,不限,01 财务科员,不限,1,福州,男,仓山区,否,审判机关,00316 福建省福州市仓山区人民法院
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事办公室综合工作,乡镇（街道）,中国语言文学类、法学类,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽清县,否,党的机关,00770 闽清县梅城镇人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事交通、住建等项目工程建设工作,乡镇（街道）,交通运输综合管理类、公路运输类、土建类,最低服务年限五年,不限,02 经济发展办科员,不限,1,福州,不限,闽清县,否,党的机关,00770 闽清县梅城镇人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事日常会计核算与监督，会计账务处理等财务工作,乡镇（街道）,会计与审计类、财政金融类,最低服务年限五年,不限,03 经济发展办科员,不限,1,福州,不限,闽清县,否,党的机关,00770 闽清县梅城镇人民政府
35周岁以下,本省,0591-62062135李,不限,大专及以上,不限,A类(乡镇),不限,否,从事处理党政办公室日常事务及应急突发事件等工作,乡镇（街道）,不限,最低服务年限五年,不限,02 党政办科员,不限,1,福州,不限,闽清县,是,党的机关,00779 闽清县塔庄镇人民政府
35周岁以下,本省,0591-62062135李,不限,大专及以上,不限,A类(乡镇),不限,否,从事处理党政办公室日常事务及应急突发事件等工作,乡镇（街道）,不限,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽清县,是,党的机关,00780 闽清县省璜镇人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事交通、水利等项目工程建设工作,乡镇（街道）,交通运输综合管理类、公路运输类、水利类,最低服务年限五年,不限,02 经济发展办科员,不限,1,福州,不限,闽清县,否,党的机关,00780 闽清县省璜镇人民政府
35周岁以下,本设区市,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事乡镇基层财务管理等工作,乡镇（街道）,会计与审计类、财政金融类,最低服务年限五年,不限,01 科员,不限,2,福州,不限,永泰县,否,党的机关,00982 永泰县丹云乡人民政府
35周岁以下,本省,0591-24877273蔡,不限,大专及以上,不限,A类(乡镇),不限,是,从事乡镇基层农村工作,乡镇（街道）,不限,最低服务年限五年,不限,02 科员,不限,1,福州,不限,永泰县,是,党的机关,00982 永泰县丹云乡人民政府
35周岁以下,本省,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类,不限,是,从事纪检监察工作，履行监督执纪问责与监督调查处置等各项职责,县级,法学类、公安学类、公安技术类、会计与审计类,最低服务年限五年,中共党员,03 科员,不限,1,福州,不限,永泰县,否,党的机关,00901 中共永泰县纪律检查委员会
35周岁以下,本省,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类,不限,是,从事理论宣传、综合文字及办公室日常事务管理工作,县级,马克思主义理论类、中国语言文学类,最低服务年限五年,不限,01 科员,不限,1,福州,男,永泰县,否,党的机关,00904 中共永泰县委宣传部
35周岁以下,本省,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类,不限,是,从事理论宣传、综合文字及办公室日常事务管理工作,县级,马克思主义理论类、中国语言文学类,最低服务年限五年,不限,02 科员,不限,1,福州,女,永泰县,否,党的机关,00904 中共永泰县委宣传部
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事交通、住建等项目工程建设工作,乡镇（街道）,交通运输综合管理类、公路运输类、土建类,最低服务年限五年,不限,01 办公室科员,不限,1,福州,不限,闽清县,否,党的机关,00772 闽清县云龙乡人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事处理党政办日常事务及文秘、综合材料写作等工作,乡镇（街道）,中国语言文学类、新闻传播学类,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽清县,否,党的机关,00773 闽清县金沙镇人民政府
35周岁以下,本省,0591-22983530江,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事公路等交通运输管理工作,乡镇（街道）,交通运输综合管理类、公路运输类,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽侯县,否,党的机关,00672 闽侯县大湖乡人民政府
35周岁以下,本省,0591-22983530江,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事综合文字工作,乡镇（街道）,不限,最低服务年限五年,不限,02 党政办科员,不限,1,福州,不限,闽侯县,否,党的机关,00672 闽侯县大湖乡人民政府
35周岁以下,本省,0591-22983530江,不限,大专及以上,不限,A类(乡镇),不限,否,从事综合文字工作,乡镇（街道）,不限,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽侯县,是,党的机关,00673 闽侯县洋里乡人民政府
35周岁以下,本设区市,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事综合文字及办公室日常工作,乡镇（街道）,中国语言文学类,最低服务年限五年,不限,02 科员,不限,1,福州,女,永泰县,否,党的机关,00974 永泰县白云乡人民政府
35周岁以下,本设区市,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事乡镇基层财务管理等工作,乡镇（街道）,会计与审计类,最低服务年限五年,不限,03 科员,不限,1,福州,不限,永泰县,否,党的机关,00974 永泰县白云乡人民政府
35周岁以下,本省,0591-24877273蔡,不限,大专及以上,不限,A类(乡镇),不限,是,从事乡镇基层农村工作,乡镇（街道）,不限,最低服务年限五年,不限,04 科员,不限,1,福州,不限,永泰县,是,党的机关,00974 永泰县白云乡人民政府
35周岁以下,本设区市,0591-24877273蔡,学士或以上学位,本科及以上,不限,A类(乡镇),不限,是,从事乡镇基层信息化建设与管理、办公室综合文字等工作,乡镇（街道）,计算机科学与技术类、中国语言文学类,最低服务年限五年,不限,01 科员,不限,1,福州,不限,永泰县,否,党的机关,00975 永泰县洑口乡人民政府
30周岁以下,本省,0591-87073316杨,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院案件记录等有关工作,县级,法学类专业[不含公共事业管理（医事法律方向）],最低服务年限五年；通过全国统一司法考试,不限,01 书记员（科员级）,不限,1,福州,男,马尾区,否,审判机关,00416 福州市马尾区人民法院
30周岁以下,本省,0591-87073316杨,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院案件记录等有关工作,县级,法学类专业[不含公共事业管理（医事法律方向）],最低服务年限五年；通过全国统一司法考试,不限,02 书记员（科员级）,不限,1,福州,女,马尾区,否,审判机关,00416 福州市马尾区人民法院
35周岁以下,本省,0591-87073316杨,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院行政综合部门文字性工作,县级,法学类、中国语言文学类、哲学类，以及新闻学、行政管理、思想政治教育专业,最低服务年限五年,不限,03 文秘科员,不限,1,福州,不限,马尾区,否,审判机关,00416 福州市马尾区人民法院
35周岁以下,本省,0591-38136086翁,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事办公室综合、财务等工作,乡镇（街道）,不限,最低服务年限五年,不限,01 党政办公室科员,不限,1,福州,不限,马尾区,否,党的机关,00470 福州市马尾区亭江镇人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事卫生和计生政策宣传，提供计划生育技术指导服务等工作,乡镇（街道）,卫生管理类、临床医学类,最低服务年限五年,不限,01 卫计办科员,不限,1,福州,不限,闽清县,否,党的机关,00771 闽清县梅溪镇人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事乡镇综治信访维稳、平安创建、矛盾纠纷排查等工作,乡镇（街道）,法学类、公共管理类,最低服务年限五年，单位性别比例严重失衡，需招收男性,不限,02 综治办科员,不限,1,福州,男,闽清县,否,党的机关,00771 闽清县梅溪镇人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事卫生和计生政策宣传，提供计划生育技术指导服务等工作,乡镇（街道）,卫生管理类、临床医学类,最低服务年限五年,不限,03 卫计办科员,不限,1,福州,不限,闽清县,否,党的机关,00780 闽清县省璜镇人民政府
